date,AQI,quality,PM2.5,PM10,SO2,CO,NO2,O3_8h
2018-04-16,101,«·∂»Œ€»æ,67,152,9,0.6,45,143
2018-04-17,126,«·∂»Œ€»æ,89,201,9,0.8,39,145
2018-04-18,133,«·∂»Œ€»æ,101,197,7,0.8,45,160
2018-04-19,147,«·∂»Œ€»æ,112,179,9,0.9,46,187
2018-04-20,150,«·∂»Œ€»æ,115,146,11,1.3,41,211
2018-04-21,85,¡º,63,67,3,0.9,31,71
2018-04-22,36,”≈,10,18,2,0.3,19,71
2018-04-23,49,”≈,16,29,2,0.4,26,97
2018-04-24,56,¡º,18,33,2,0.4,35,107
2018-04-25,77,¡º,31,61,4,0.5,42,132
2018-04-26,113,«·∂»Œ€»æ,85,103,6,0.7,50,153
2018-04-27,107,«·∂»Œ€»æ,39,163,4,0.5,36,129
2018-04-28,133,«·∂»Œ€»æ,88,159,6,0.7,51,196
2018-04-29,176,÷–∂»Œ€»æ,133,156,8,1,55,155
2018-04-30,60,¡º,26,62,4,0.6,23,111
2018-05-01,111,«·∂»Œ€»æ,38,171,2,0.4,30,77
2018-05-02,46,”≈,15,38,2,0.3,21,92
2018-05-03,50,”≈,14,50,3,0.3,27,100
2018-05-04,100,¡º,56,105,8,0.6,52,159
2018-05-05,0,Œﬁ,0,0,4,0.5,45,79
2018-05-06,112,«·∂»Œ€»æ,55,174,4,0.5,39,136
2018-05-07,92,¡º,51,124,7,0.7,42,150
2018-05-08,81,¡º,28,75,4,0.5,36,137
2018-05-09,106,«·∂»Œ€»æ,43,92,7,0.6,46,166
2018-05-10,130,«·∂»Œ€»æ,85,131,11,0.9,58,192
2018-05-11,100,¡º,75,100,6,0.8,48,101
2018-05-12,169,÷–∂»Œ€»æ,128,115,4,1.4,40,149
2018-05-13,105,«·∂»Œ€»æ,45,76,3,0.5,37,165
2018-05-14,158,÷–∂»Œ€»æ,106,130,6,1.1,41,223
2018-05-15,83,¡º,61,92,4,1,40,125
2018-05-16,138,«·∂»Œ€»æ,105,83,5,1.7,34,164
2018-05-17,54,¡º,38,54,3,0.9,27,73
2018-05-18,84,¡º,21,44,4,0.5,28,140
2018-05-19,97,¡º,35,63,5,0.7,39,156
2018-05-20,54,¡º,37,42,3,0.7,28,104
2018-05-21,79,¡º,58,38,2,0.9,34,49
2018-05-22,96,¡º,42,141,2,0.4,23,90
2018-05-23,130,«·∂»Œ€»æ,52,209,5,0.5,38,138
2018-05-24,135,«·∂»Œ€»æ,47,120,7,0.7,48,198
2018-05-25,144,«·∂»Œ€»æ,55,118,6,0.7,37,208
2018-05-26,0,Œﬁ,0,0,4,0.7,33,128
2018-05-27,83,¡º,40,116,3,0.3,31,128
2018-05-28,0,Œﬁ,0,0,2,0.2,23,87
2018-05-29,55,¡º,13,50,2,0.3,31,105
2018-05-30,85,¡º,12,34,3,0.3,32,142
2018-05-31,137,«·∂»Œ€»æ,26,65,5,0.5,43,200
2018-06-01,114,«·∂»Œ€»æ,25,62,3,0.4,44,175
2018-06-02,178,÷–∂»Œ€»æ,45,97,8,0.7,47,243
2018-06-03,81,¡º,49,112,4,0.6,37,115
2018-06-04,93,¡º,27,82,3,0.4,37,151
2018-06-05,147,«·∂»Œ€»æ,35,106,6,0.5,39,211
2018-06-06,158,÷–∂»Œ€»æ,45,130,8,0.7,41,223
2018-06-07,84,¡º,19,51,3,0.4,22,140
2018-06-08,80,¡º,14,42,2,0.4,30,135
2018-06-09,49,”≈,20,37,2,0.5,26,97
2018-06-10,95,¡º,31,31,2,0.6,21,153
2018-06-11,89,¡º,58,58,2,0.8,28,146
2018-06-12,125,«·∂»Œ€»æ,77,75,3,0.9,39,187
2018-06-13,59,¡º,42,41,3,0.8,30,93
2018-06-14,111,«·∂»Œ€»æ,23,37,3,0.6,33,172
2018-06-15,120,«·∂»Œ€»æ,72,63,5,1.3,26,181
2018-06-16,126,«·∂»Œ€»æ,73,75,3,0.9,26,188
2018-06-17,87,¡º,41,43,2,0.7,25,144
2018-06-18,131,«·∂»Œ€»æ,72,71,3,0.8,31,194
2018-06-19,104,«·∂»Œ€»æ,47,65,4,0.9,25,164
2018-06-20,86,¡º,35,45,3,0.6,30,143
2018-06-21,142,«·∂»Œ€»æ,24,56,6,0.7,33,206
2018-06-22,89,¡º,55,82,6,1,46,146
2018-06-23,190,÷–∂»Œ€»æ,50,76,4,0.7,29,255
2018-06-24,164,÷–∂»Œ€»æ,48,83,4,0.7,28,229
2018-06-25,111,«·∂»Œ€»æ,73,104,5,1,38,172
2018-06-26,144,«·∂»Œ€»æ,110,95,4,1.5,32,202
2018-06-27,44,”≈,24,43,3,0.4,32,87
2018-06-28,59,¡º,8,22,3,0.3,23,110
2018-06-29,95,¡º,16,50,2,0.4,40,153
2018-06-30,165,÷–∂»Œ€»æ,29,67,5,0.8,31,230
2018-07-01,107,«·∂»Œ€»æ,44,49,4,0.9,24,167
2018-07-02,96,¡º,39,49,3,0.7,21,155
2018-07-03,109,«·∂»Œ€»æ,49,46,3,0.7,22,169
2018-07-04,152,÷–∂»Œ€»æ,52,69,3,0.8,29,217
2018-07-05,156,÷–∂»Œ€»æ,61,92,3,1,33,221
2018-07-06,150,«·∂»Œ€»æ,32,50,3,0.8,23,215
2018-07-07,65,¡º,47,45,3,0.8,25,46
2018-07-08,98,¡º,48,37,3,0.8,21,157
2018-07-09,93,¡º,69,62,3,0.8,27,75
2018-07-10,46,”≈,30,31,3,0.6,20,92
2018-07-11,40,”≈,27,25,3,0.6,32,62
2018-07-12,43,”≈,30,24,3,0.6,29,71
2018-07-13,55,¡º,39,42,3,0.8,35,98
2018-07-14,99,¡º,46,39,3,0.7,21,158
2018-07-15,103,«·∂»Œ€»æ,53,51,3,0.8,26,163
2018-07-16,33,”≈,23,30,3,0.7,24,62
2018-07-17,32,”≈,18,12,3,0.6,25,57
2018-07-18,99,¡º,74,59,3,1.2,25,106
2018-07-19,84,¡º,62,50,3,0.8,29,117
2018-07-20,95,¡º,71,66,3,0.9,20,154
2018-07-21,116,«·∂»Œ€»æ,61,68,3,0.8,19,177
2018-07-22,55,¡º,39,41,3,0.7,25,96
2018-07-23,89,¡º,46,53,3,0.8,23,146
2018-07-24,28,”≈,14,18,3,0.5,17,55
2018-07-25,48,”≈,9,15,3,0.4,16,96
2018-07-26,85,¡º,10,28,3,0.5,23,141
2018-07-27,83,¡º,43,50,3,1,21,139
2018-07-28,114,«·∂»Œ€»æ,49,55,3,1,19,175
2018-07-29,130,«·∂»Œ€»æ,65,78,3,1.1,24,192
2018-07-30,126,«·∂»Œ€»æ,64,74,3,1,26,188
2018-07-31,145,«·∂»Œ€»æ,56,73,3,1,28,209
2018-08-01,149,«·∂»Œ€»æ,52,77,3,1,25,213
2018-08-02,135,«·∂»Œ€»æ,74,90,3,1.3,23,198
2018-08-03,120,«·∂»Œ€»æ,47,69,2,0.9,25,182
2018-08-04,152,÷–∂»Œ€»æ,56,86,3,1,27,217
2018-08-05,73,¡º,30,48,3,0.7,19,127
2018-08-06,46,”≈,32,44,4,1.2,28,56
2018-08-07,78,¡º,55,54,3,1.1,24,133
2018-08-08,38,”≈,20,21,3,0.8,20,75
2018-08-09,95,¡º,26,30,2,0.9,26,154
2018-08-10,135,«·∂»Œ€»æ,32,42,2,0.8,26,198
2018-08-11,76,¡º,41,43,3,1,22,131
2018-08-12,68,¡º,49,39,2,1,21,95
2018-08-13,76,¡º,41,37,2,0.9,20,131
2018-08-14,35,”≈,23,29,2,0.7,19,70
2018-08-15,45,”≈,13,25,2,0.5,24,89
2018-08-16,81,¡º,12,27,2,0.3,23,137
2018-08-17,137,«·∂»Œ€»æ,28,57,2,0.6,36,200
2018-08-18,45,”≈,13,20,3,0.4,22,90
2018-08-19,38,”≈,18,31,3,0.6,28,75
2018-08-20,78,¡º,21,32,2,0.7,22,133
2018-08-21,51,¡º,11,27,2,0.4,25,101
2018-08-22,54,¡º,17,47,2,0.6,43,60
2018-08-23,68,¡º,15,36,2,0.5,31,121
2018-08-24,54,¡º,11,31,2,0.4,29,104
2018-08-25,121,«·∂»Œ€»æ,27,60,3,0.6,29,183
2018-08-26,125,«·∂»Œ€»æ,53,82,3,0.8,28,187
2018-08-27,124,«·∂»Œ€»æ,56,79,5,1,30,186
2018-08-28,92,¡º,53,67,3,0.9,32,150
2018-08-29,53,¡º,8,21,2,0.4,22,103
2018-08-30,39,”≈,14,34,3,0.6,30,77
2018-08-31,86,¡º,13,28,3,0.5,26,143
2018-09-01,88,¡º,44,50,3,0.9,30,145
2018-09-02,67,¡º,41,34,2,0.8,19,120
2018-09-03,42,”≈,29,28,2,0.5,19,78
2018-09-04,43,”≈,7,19,2,0.3,24,86
2018-09-05,62,¡º,11,33,3,0.4,31,114
2018-09-06,35,”≈,8,35,2,0.3,19,68
2018-09-07,34,”≈,5,18,2,0.3,17,68
2018-09-08,42,”≈,8,23,2,0.3,27,84
2018-09-09,75,¡º,24,56,4,0.5,41,129
2018-09-10,75,¡º,43,74,6,0.9,52,129
2018-09-11,80,¡º,43,68,5,0.8,41,135
2018-09-12,103,«·∂»Œ€»æ,47,58,4,0.8,37,163
2018-09-13,110,«·∂»Œ€»æ,80,97,4,0.9,49,170
2018-09-14,132,«·∂»Œ€»æ,100,109,5,1,50,157
2018-09-15,30,”≈,14,23,2,0.4,20,59
2018-09-16,42,”≈,8,26,3,0.3,30,83
2018-09-17,52,¡º,12,40,3,0.4,41,72
2018-09-18,63,¡º,20,55,3,0.5,50,56
2018-09-19,74,¡º,28,63,3,0.7,59,42
2018-09-20,64,¡º,45,70,3,0.7,50,116
2018-09-21,45,”≈,15,45,2,0.3,29,62
2018-09-22,34,”≈,6,25,2,0.2,18,68
2018-09-23,30,”≈,5,25,2,0.3,22,59
2018-09-24,36,”≈,8,25,3,0.3,28,72
2018-09-25,48,”≈,22,48,4,0.6,36,90
2018-09-26,54,¡º,34,57,3,0.6,40,93
2018-09-27,89,¡º,66,80,5,0.9,59,68
2018-09-28,75,¡º,55,42,3,0.8,35,83
2018-09-29,32,”≈,6,13,3,0.3,24,64
2018-09-30,30,”≈,5,18,3,0.3,21,59
2018-10-01,40,”≈,8,21,3,0.3,19,80
2018-10-02,44,”≈,11,29,3,0.4,35,81
2018-10-03,53,¡º,13,34,3,0.5,42,82
2018-10-04,74,¡º,46,74,8,1,56,128
2018-10-05,109,«·∂»Œ€»æ,82,87,7,1.2,56,123
2018-10-06,33,”≈,8,21,3,0.3,18,66
2018-10-07,49,”≈,10,36,2,0.4,39,67
2018-10-08,42,”≈,9,34,2,0.4,33,73
2018-10-09,26,”≈,4,19,3,0.2,15,51
2018-10-10,33,”≈,7,22,3,0.3,26,52
2018-10-11,47,”≈,12,31,2,0.3,37,59
2018-10-12,73,¡º,40,73,4,0.6,58,72
2018-10-13,113,«·∂»Œ€»æ,85,104,6,1,75,90
2018-10-14,189,÷–∂»Œ€»æ,142,143,6,1.2,77,114
2018-10-15,203,÷ÿ∂»Œ€»æ,153,126,5,1.4,69,55
2018-10-16,83,¡º,61,38,3,0.9,37,74
2018-10-17,53,¡º,32,51,2,0.6,42,63
2018-10-18,67,¡º,31,50,3,0.6,53,64
2018-10-19,73,¡º,43,56,3,0.7,58,79
2018-10-20,88,¡º,65,75,5,0.8,68,81
2018-10-21,152,÷–∂»Œ€»æ,116,111,7,1.4,85,56
2018-10-22,158,÷–∂»Œ€»æ,120,116,5,1.2,58,72
2018-10-23,45,”≈,15,43,2,0.4,36,58
2018-10-24,85,¡º,45,95,4,0.9,68,37
2018-10-25,112,«·∂»Œ€»æ,84,123,9,1.5,74,29
2018-10-26,45,”≈,5,45,3,0.2,11,56
2018-10-27,33,”≈,10,32,3,0.3,26,57
2018-10-28,36,”≈,4,29,2,0.2,11,72
